      Step     Time          Energy          fmax
BFGS:    0 16:38:54     -319.171571       60.101693
BFGS:    1 16:38:56     -327.207483       18.899327
BFGS:    2 16:38:58     -328.516320       25.597959
BFGS:    3 16:39:00     -331.644497       17.013444
BFGS:    4 16:39:02     -334.964646       11.115235
BFGS:    5 16:39:03     -337.181656        8.194343
BFGS:    6 16:39:05     -338.791076        6.044441
BFGS:    7 16:39:07     -339.976739        4.457451
BFGS:    8 16:39:09     -340.668217        3.033227
BFGS:    9 16:39:10     -340.867957        2.161100
BFGS:   10 16:39:12     -340.932972        1.755936
BFGS:   11 16:39:15     -341.001172        1.390098
BFGS:   12 16:39:17     -341.082281        0.978101
BFGS:   13 16:39:19     -341.142815        0.585209
BFGS:   14 16:39:21     -341.171528        0.370451
BFGS:   15 16:39:23     -341.194332        0.283637
BFGS:   16 16:39:25     -341.212769        0.256452
BFGS:   17 16:39:27     -341.222631        0.133796
BFGS:   18 16:39:29     -341.227941        0.073800
BFGS:   19 16:39:31     -341.229817        0.071730
BFGS:   20 16:39:33     -341.231249        0.103250
BFGS:   21 16:39:35     -341.233184        0.114107
BFGS:   22 16:39:37     -341.234747        0.099655
BFGS:   23 16:39:40     -341.235606        0.069752
BFGS:   24 16:39:42     -341.236144        0.042139
